spotify_primary_artist_name,musicbrainz_artist_gender
IDK,male
Mark Chesnutt,male
George Strait,male
Keith Urban,male
Kimbra,female
Madonna,female
Les Paul,male
Curtis Mayfield,male
Russ,male
Macklemore,male
Babyface Ray,male
Niko Moon,male
Tory Lanez,male
Jackson Wang,male
Jacquees,male
EST Gee,male
Joey Bada$$,male
Eric Clapton,male
Noah Cyrus,female
Dave Koz,male
Nancy Wilson,female
Steven Wilson,male
Kim Wilde,female
Mary Hopkin,female
Vince Staples,male
Master P,male
Michael Bublé,male
Morrissey,male
Metro Boomin,male
Enrique Iglesias,male
BENEE,female
DaBaby,male
Roddy Ricch,male
Ne-Yo,male
Britney Spears,female
Barbra Streisand,female
Cheryl Lynn,female
Elvis Presley,male
Janis Joplin,female
Tammy Wynette,female
Frank Sinatra,male
John Lennon,male
Roberta Flack,female
Jason Mraz,male
Marvin Gaye,male
Paul Davis,male
Baby Bash,male
John Hartford,male
Alexis Spight,female
M.I.A.,female
Earl Sweatshirt,male
Johnny Cash,male
Shanice,female
David Bowie,male
Teyana Taylor,female
Boz Scaggs,male
Patti Smith,female
T-Pain,male
Michael Jackson,male
Imogen Heap,female
Tove Lo,female
Jason Derulo,male
Future,male
Buddy Holly,male
"Tyler, The Creator",male
Tech N9ne,male
Seal,male
Teena Marie,female
Luciano Pavarotti,male
YG,male
Martika,female
Henry Mancini,male
Rick James,male
Trick Daddy,male
Taylor Swift,female
Lil Durk,male
Lee Ritenour,male
Julian Cope,male
Ghostface Killah,male
Wyclef Jean,male
Cham,male
DJ Khaled,male
Dion,male
Jeff Buckley,male
Keith Richards,male
Tom Petty,male
Daddy Yankee,male
Céline Dion,female
Lucinda Williams,female
Kishi Bashi,male
Blake Shelton,male
Phil Collins,male
Kristinia DeBarge,female
Chris Brown,male
Diana Ross,female
Elton John,male
Aretha Franklin,female
Shakira,female
Cody Simpson,male
Noah Kahan,male
Sampha,male
Yo-Yo Ma,male
Roger McGuinn,male
Jackson Browne,male
Jaden,male
Estelle,female
Carly Rae Jepsen,female
SZA,female
Charlotte Church,female
Peter Gabriel,male
Kelly Clarkson,female
Norah Jones,female
Damien Jurado,male
A Boogie Wit da Hoodie,male
Monica,female
Richard Thompson,male
Jessi Colter,female
Chingy,male
Akon,male
"Royce Da 5'9""",male
Krizz Kaliko,male
E-40,male
T.I.,male
Jon Batiste,male
"Evelyn ""Champagne"" King",female
Pitbull,male
Nik Kershaw,male
TobyMac,male
Ledisi,female
Rod Stewart,male
Aesop Rock,male
Duran Duran,male
Juan Gabriel,male
Miguel,male
Patrick Stump,male
Gregg Allman,male
Rick Astley,male
Luis Fonsi,male
Jack Johnson,male
Kelly Rowland,female
Shannon Brown,female
Jeannie C. Riley,female
Paul McCartney,male
Trey Songz,male
Toni Braxton,female
AZ,male
Kevin Gates,male
Meghan Trainor,female
Leon Russell,male
Faith Evans,female
Lily Allen,female
David Byrne & Fatboy Slim,male
Thundercat,male
Ryan Star,male
Steve Perry,male
Hilary Duff,female
Paloma Faith,female
Paul van Dyk,male
Trisha Yearwood,female
Matthew Sweet,male
Tim McGraw,male
Jessie J,female
Miles Davis,male
Miranda Cosgrove,female
R. Kelly,male
Sheryl Crow,female
Ryan Leslie,male
Ednita Nazario,female
Soulja Boy,male
Yelawolf,male
Trinere,female
Romeo Santos,male
Rittz,male
Lil' Flip,male
Luis Miguel,male
Serena Ryder,female
Pimp C,male
Buddy Guy,male
St. Vincent,female
