00000000004_0025819_0026242	and, then, the, prophets, recorded, their, history, and, their, prophecies
00000000004_0044292_0045286	and, then, the, holy, writings, poetry, and, history, for, a, total, of, eleven, books, if, you, added, all, those, up, you, had, twenty, four, books
00000000004_0054631_0056170	in, genesis, we, have, an, account, of, the, creation, of, the, world, and, how, the, environment, and, society, and, human, beings, came, to, be, in, their, present, state, we, have, a, ruined, natural, world, after, the, flood, we, have, a, dysfunctional, society
00000000004_0135638_0137614	in, some, cases, a, book, had, a, name, attached, to, it, but, did, not, read, like, a, new, testament, book, a, lot, of, uninspired, authors, tried, to, gain, an, audience, by, putting, the, name, of, an, apostle, on, their, book, for, example, there, was, a, book, that, was, being, circulated, that, was, entitled, the, acts, of, peter
00000000004_0141083_0142126	and, apparently, he, said, rise, up, and, fly, away, and, the, birds, came, to, life, and, flew, away, in, another, story, jesus, as
00000000004_0163256_0164089	english, is, the, language, of, commerce, the, language, of, diplomacy, the, language, of, aviation, it's, a, common, worldwide, language
00000000004_0165323_0165593	was, originally, written, in
00000000004_0168866_0169776	now, with, time, the, greek, was, translated, into, other, languages, but, these, translations, were, always, made, from, the, original
00000000004_0188598_0190042	this, zeal, to, produce, new, bible, versions, in, common, languages, translated, directly, from, the, original, greek, and, hebrew, was, helped, along, by, a, new, religious, movement, called, the, reformation
00000000004_0213234_0214840	that, are, in, conflict, or, in, question, with, one, another, if, there, are, mistakes, they're, usually, mistakes, of, punctuation, or, the, spelling, of, names, or, places, or, locations, which, are, perhaps, obscure, in, the, original, languages
00000000004_0235634_0236797	with, the, substance, of, the, bible, it's, unique, in, its, unity, i, mean, listen, sixty, six, books, written, over, a, period, of, fifteen, hundred, years
00000000004_0266848_0268232	in, our, next, session, we're, actually, going, to, look, at, the, focus, of, the, bible, and, that's, jesus, christ, himself, so, i, hope, that, you'll, come, back, and, take, the, next, lesson, in, the, series, until, then, god, bless, you, we'll, see, you, again, soon, bye
00000000027_0019246_0019398	a, writer, for, the, politico
00000000032_0069009_0069198	not, in, this, story
00000000032_0071434_0071689	he, was, asking, casually
00000000032_0085820_0086277	i, was, laughing, when, i, walked, into, the, shop
00000000032_0090182_0091045	who, played, my, friend
00000000032_0092911_0093275	i, played, a, game, of, pool, with, my, friend, did, not
00000000036_0286005_0286248	you, was, longer, when, you, came, on, monday
00000000036_0296579_0296861	cinders, i, have, a, pain
